name,UID,code,shortName,Description,Form Name,domainType,Value type,Aggregation type,CatCombo,,,,Option set,optionSet
CLINICS,,CLINICS,,,,,,,,,,,,optionSet
Management & Leadership--,,,,,,,,,,,,,,optionSet
CLINIC-Standards-SE1-Management & Leadership-1.1 Governance of the Health Facility-The health facility has a governing body that meets regularly and provides oversight.,txxYo6rEDrp,CLINIC-Standards-SE1-Management & Leadership-1.1.1.1,1CLINIC-Standards-SE1-Management & Leadership-1.1.1.1,The health facility has a governing body that meets regularly and provides oversight.,The health facility has a governing body that meets regularly and provides oversight.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE1-Management & Leadership-1.1 Governance of the Health Facility-The governing body reviews and approves strategic plans and budgets.,QWVwn3b8yoc,CLINIC-Standards-SE1-Management & Leadership-1.1.1.2,2CLINIC-Standards-SE1-Management & Leadership-1.1.1.2,The governing body reviews and approves strategic plans and budgets.,The governing body reviews and approves strategic plans and budgets.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE1-Management & Leadership-1.1 Governance of the Health Facility-The governing body ensures compliance with national health policies and regulations.,U0stMePht3o,CLINIC-Standards-SE1-Management & Leadership-1.1.1.3,3CLINIC-Standards-SE1-Management & Leadership-1.1.1.3,The governing body ensures compliance with national health policies and regulations.,The governing body ensures compliance with national health policies and regulations.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE1-Management & Leadership-1.2 Facility Management-The facility manager is appointed and has clearly defined roles and responsibilities.,zYJzwIPJ1BH,CLINIC-Standards-SE1-Management & Leadership-1.2.1.1,4CLINIC-Standards-SE1-Management & Leadership-1.2.1.1,The facility manager is appointed and has clearly defined roles and responsibilities.,The facility manager is appointed and has clearly defined roles and responsibilities.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE1-Management & Leadership-1.2 Facility Management-The facility manager oversees daily operations and staff performance.,oYchHhopu8E,CLINIC-Standards-SE1-Management & Leadership-1.2.1.2,5CLINIC-Standards-SE1-Management & Leadership-1.2.1.2,The facility manager oversees daily operations and staff performance.,The facility manager oversees daily operations and staff performance.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE1-Management & Leadership-1.2 Facility Management-The facility manager ensures implementation of policies and procedures.,bmaEl5zW0G2,CLINIC-Standards-SE1-Management & Leadership-1.2.1.3,6CLINIC-Standards-SE1-Management & Leadership-1.2.1.3,The facility manager ensures implementation of policies and procedures.,The facility manager ensures implementation of policies and procedures.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE1-Management & Leadership-1.3 Planning and Coordination-The facility has a documented annual operational plan aligned with national priorities.,fuD7R2prvHJ,CLINIC-Standards-SE1-Management & Leadership-1.3.1.1,7CLINIC-Standards-SE1-Management & Leadership-1.3.1.1,The facility has a documented annual operational plan aligned with national priorities.,The facility has a documented annual operational plan aligned with national priorities.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE1-Management & Leadership-1.3 Planning and Coordination-Staff are involved in planning and review processes.,QeQKpdi4Ijb,CLINIC-Standards-SE1-Management & Leadership-1.3.1.2,8CLINIC-Standards-SE1-Management & Leadership-1.3.1.2,Staff are involved in planning and review processes.,Staff are involved in planning and review processes.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE1-Management & Leadership-1.3 Planning and Coordination-Coordination meetings are held regularly and documented.,WMDbPwm0dSB,CLINIC-Standards-SE1-Management & Leadership-1.3.1.3,9CLINIC-Standards-SE1-Management & Leadership-1.3.1.3,Coordination meetings are held regularly and documented.,Coordination meetings are held regularly and documented.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE1-Management & Leadership-1.4 Risk Management-The facility identifies and documents potential risks.,rMsfIy0y1KP,CLINIC-Standards-SE1-Management & Leadership-1.4.1.1,10CLINIC-Standards-SE1-Management & Leadership-1.4.1.1,The facility identifies and documents potential risks.,The facility identifies and documents potential risks.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE1-Management & Leadership-1.4 Risk Management-Risk mitigation strategies are implemented and monitored.,G24mgA6CODh,CLINIC-Standards-SE1-Management & Leadership-1.4.1.2,11CLINIC-Standards-SE1-Management & Leadership-1.4.1.2,Risk mitigation strategies are implemented and monitored.,Risk mitigation strategies are implemented and monitored.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE1-Management & Leadership-1.4 Risk Management-Staff are trained on risk management procedures.,L1pKN1Yw0BM,CLINIC-Standards-SE1-Management & Leadership-1.4.1.3,12CLINIC-Standards-SE1-Management & Leadership-1.4.1.3,Staff are trained on risk management procedures.,Staff are trained on risk management procedures.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE1-Management & Leadership-1.5 Human Resource Management-The facility maintains updated job descriptions for all staff.,OK9Aujpcwzl,CLINIC-Standards-SE1-Management & Leadership-1.5.1.1,13CLINIC-Standards-SE1-Management & Leadership-1.5.1.1,The facility maintains updated job descriptions for all staff.,The facility maintains updated job descriptions for all staff.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE1-Management & Leadership-1.5 Human Resource Management-Staff recruitment follows documented procedures.,ecuGmnRZxpr,CLINIC-Standards-SE1-Management & Leadership-1.5.1.2,14CLINIC-Standards-SE1-Management & Leadership-1.5.1.2,Staff recruitment follows documented procedures.,Staff recruitment follows documented procedures.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE1-Management & Leadership-1.5 Human Resource Management-Orientation is provided to all new staff.,c6eKEFE3cN4,CLINIC-Standards-SE1-Management & Leadership-1.5.1.3,15CLINIC-Standards-SE1-Management & Leadership-1.5.1.3,Orientation is provided to all new staff.,Orientation is provided to all new staff.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE1-Management & Leadership-1.5 Human Resource Management-Staff performance is regularly appraised and documented.,AccFAsoqeLy,CLINIC-Standards-SE1-Management & Leadership-1.5.1.4,16CLINIC-Standards-SE1-Management & Leadership-1.5.1.4,Staff performance is regularly appraised and documented.,Staff performance is regularly appraised and documented.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE1-Management & Leadership-1.5 Human Resource Management-Staff development needs are identified and addressed.,RgwBaXusjHZ,CLINIC-Standards-SE1-Management & Leadership-1.5.1.5,17CLINIC-Standards-SE1-Management & Leadership-1.5.1.5,Staff development needs are identified and addressed.,Staff development needs are identified and addressed.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE1-Management & Leadership-1.6 Staff Welfare and Motivation-The facility promotes staff welfare through supportive policies.,EsjRK1xoGny,CLINIC-Standards-SE1-Management & Leadership-1.6.1.1,18CLINIC-Standards-SE1-Management & Leadership-1.6.1.1,The facility promotes staff welfare through supportive policies.,The facility promotes staff welfare through supportive policies.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE1-Management & Leadership-1.6 Staff Welfare and Motivation-Staff have access to grievance mechanisms.,vP5dV8et866,CLINIC-Standards-SE1-Management & Leadership-1.6.1.2,19CLINIC-Standards-SE1-Management & Leadership-1.6.1.2,Staff have access to grievance mechanisms.,Staff have access to grievance mechanisms.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE1-Management & Leadership-1.6 Staff Welfare and Motivation-Staff recognition and reward systems are in place.,kDvZrhIqKD7,CLINIC-Standards-SE1-Management & Leadership-1.6.1.3,20CLINIC-Standards-SE1-Management & Leadership-1.6.1.3,Staff recognition and reward systems are in place.,Staff recognition and reward systems are in place.,TRACKER,TEXT,COUNT,,,,,,optionSet
CLINIC-Standards-SE1-Management & Leadership-1.7 Communication-Internal communication systems are established and functional.,wRFEeGplUkN,CLINIC-Standards-SE1-Management & Leadership-1.7.1.1,21CLINIC-Standards-SE1-Management & Leadership-1.7.1.1,Internal communication systems are established and functional.,Internal communication systems are established and functional.,TRACKER,TEXT,COUNT,,,,,,optionSet
